Codigo_Asignatura,Nombre_Asignatura,Vacantes,Salas_Adecuadas,Salas_Inadecuadas
(FIA14-A),INTRODUCCIÓN A LA INGENIE,67,5,68
(FIA14-B),INTRODUCCIÓN A LA INGENIE,61,6,67
(FIA14-C),INTRODUCCIÓN A LA INGENIE,63,6,67
(FIA41-B),TERMODINÁMICA,53,7,66
(FIA22-C),ÁLGEBRA LINEAL,47,8,65
(FIA11-A),CÁLCULO DIFERENCIAL,47,8,65
(ARQ25-A),MATEMATICAS I,46,8,65
(ARQ23-A),HISTORIA Y TEORIA I,48,8,65
(PRI61-A),OPERACIONES UNITARIA,46,8,65
(FIA22-A),ÁLGEBRA LINEAL,49,8,65
(FIA32-A),ECUACIONES DIFERENCIALES,46,8,65
(ARQ26-A),ARQUITECTURA Y MATERIALID,49,8,65
(FIA41-A),TERMODINÁMICA,48,8,65
(ARQ22-A),GEOMETRIA Y ARQUITECTURA,45,14,59
(ARQ24-A),TERRITORIO I,45,14,59
(PRI66-A),TALLER DE INTEGRACIÓN PRO,41,15,58
(PRI64-A),ERGONOMÍA,41,15,58
(FIA11-B),CÁLCULO DIFERENCIAL,43,15,58
(PRI63-A),HIGIENE OCUPACIONAL APLIC,42,15,58
(FIA22-B),ÁLGEBRA LINEAL,43,15,58
(FIA21-B),CÁLCULO INTEGRAL,43,15,58
(PRI65-A),VIGILANCIA EPIDEMIOLÓGICA,41,15,58
(PRI62-A),LEGISLACIÓN DE SALUD Y SE,41,15,58
(FIA31-A),CÁLCULO VECTORIAL,44,15,58
(ICA03-A),SISTEMAS INTEGRADOS DE GE,40,21,52
(PRI63-DV1),HIGIENE OCUPACIONAL APLIC,40,21,52
(PRI61-DV2),OPERACIONES UNITARIA,38,22,51
(PRI65-DV2),VIGILANCIA EPIDEMIOLÓGICA,37,22,51
(PRI62-DV2),LEGISLACIÓN DE SALUD Y SE,38,22,51
(PRI64-DV1),ERGONOMÍA,38,22,51
(PRI62-DV1),LEGISLACIÓN DE SALUD Y SE,38,22,51
(PRI66-DV1),TALLER DE INTEGRACIÓN PRO,38,22,51
(PRI65-DV1),VIGILANCIA EPIDEMIOLÓGICA,38,22,51
(PRI83-EEE),COMUNICACIÓN Y LIDERAZGO,38,22,51
(FIA24-B),INTRODUCCIÓN A LA PROGRAM,37,22,51
(FIA45-A),DIBUJO DE INGENIERÍA,39,22,51
(PRI83-HHH),COMUNICACIÓN Y LIDERAZGO,37,22,51
(PRI85-EEE),TALLER DE TITULO,38,22,51
(PRI81-HHH),METODOLOGÍAS DE INVESTIGA,37,22,51
(PRI81-EEE),METODOLOGÍAS DE INVESTIGA,38,22,51
(FIA12-B),ÁLGEBRA,37,22,51
(FIA21-C),CÁLCULO INTEGRAL,38,22,51
(PRI63-DV2),HIGIENE OCUPACIONAL APLIC,37,22,51
(PRI64-DV2),ERGONOMÍA,37,22,51
(PRI84-HHH),TÉCNICAS DE NEGOCIACIÓN Y,37,22,51
(PRI61-DV1),OPERACIONES UNITARIA,38,22,51
(PRI84-EEE),TÉCNICAS DE NEGOCIACIÓN Y,38,22,51
(PRI66-DV2),TALLER DE INTEGRACIÓN PRO,37,22,51
(PRI85-HHH),TALLER DE TITULO,37,22,51
(FIA43-B),ELECTRICIDAD Y MAGNETISMO,39,22,51
(PRI82-HHH),SISTEMAS DE GESTIÓN DE CA,37,22,51
(PRI82-EEE),SISTEMAS DE GESTIÓN DE CA,39,22,51
(IC404-A),INGENIERIA DE MATERIALES,36,23,50
(IC804-A),GESTIÓN DE PRODUCCIÓN,36,23,50
(FIA81-A),ING. ECONÓMICA Y DIRECCIÓ,36,23,50
(FIA12-A),ÁLGEBRA,36,23,50
(FIA21-A),CÁLCULO INTEGRAL,36,23,50
(ARQ43-A),HISTORIA Y TEORIA 3,35,25,48
(FIA33-A),CINEMÁTICA Y DINÁMICA,35,25,48
(FIA42-A),MÉTODOS NUMÉRICOS,35,25,48
(IC803-A),INVESTIGACION OPERATIVA I,32,27,46
(FIA24-F),INTRODUCCIÓN A LA PROGRAM,34,27,46
(FIA24-E),INTRODUCCIÓN A LA PROGRAM,33,27,46
(IC605-A),GESTION DE PERSONAS I,32,27,46
(FIA24-A),INTRODUCCIÓN A LA PROGRAM,33,27,46
(FIA24-C),INTRODUCCIÓN A LA PROGRAM,33,27,46
(ICA04-A),TALLER DE TITULO,32,27,46
(PRI82-A),SISTEMAS DE GESTIÓN DE CA,31,27,46
(PRI81-A),METODOLOGÍAS DE INVESTIGA,31,27,46
(PRI84-A),TÉCNICAS DE NEGOCIACIÓN Y,31,27,46
