Sala,Capacidad Total,Bajo Capacidad (%),Capacidad Exacta (%),Sobre Capacidad (%)
KAUS3,26,33.33,66.67,0.0
KAUS2,26,100.0,0.0,0.0
KAUS1,68,100.0,0.0,0.0
K1,82,100.0,0.0,0.0
K2,30,75.0,25.0,0.0
A106,18,48.89,4.44,46.67
CM3,50,100.0,0.0,0.0
K3,40,100.0,0.0,0.0
CM5,45,96.67,3.33,0.0
CM4,45,96.67,3.33,0.0
E1,45,100.0,0.0,0.0
CM6,30,56.25,43.75,0.0
IM3,20,47.06,52.94,0.0
IM2,20,66.67,33.33,0.0
IM4,9,26.67,40.0,33.33
E6,45,100.0,0.0,0.0
IC1,30,70.37,29.63,0.0
CRP43,71,100.0,0.0,0.0
IC3,40,100.0,0.0,0.0
IC2,44,100.0,0.0,0.0
IC4,77,100.0,0.0,0.0
KAUL1,26,100.0,0.0,0.0
KAUT8,10,4.55,86.36,9.09
KAUT7,20,68.97,31.03,0.0
KAUT6,20,75.86,24.14,0.0
IC8,34,100.0,0.0,0.0
KAUT5,20,85.71,14.29,0.0
KAUT4,20,86.96,13.04,0.0
KAUT3,17,30.0,70.0,0.0
KAUT2,28,75.0,12.5,12.5
KAUT1,28,72.73,27.27,0.0
LAMB,40,100.0,0.0,0.0
D105,34,100.0,0.0,0.0
IOLAB,15,36.0,64.0,0.0
CRP33,71,100.0,0.0,0.0
ANT21,22,57.78,6.67,35.56
KAUS5,29,100.0,0.0,0.0
