vacantes,horas_requeridas,bloques_disponibles,deficit,cantidad_asignaturas
67,5,225,0,2
63,10,270,0,4
61,5,270,0,2
53,6,315,0,2
49,8,360,0,4
48,9,360,0,4
47,10,360,0,4
46,20,360,0,5
45,6,630,0,4
44,5,675,0,2
43,15,675,0,6
42,12,675,0,1
41,42,675,0,4
40,20,945,0,5
39,26,990,0,7
38,134,990,0,13
37,115,990,0,13
36,23,1035,0,10
35,17,1125,0,7
34,4,1215,0,2
33,20,1215,0,10
32,20,1215,0,10
31,75,1215,0,13
30,43,1440,0,8
29,4,1575,0,2
28,22,1800,0,6
27,44,1845,0,8
26,15,1980,0,3
25,27,2160,0,9
24,50,2205,0,9
23,48,2250,0,7
22,150,2295,0,25
21,52,2340,0,13
20,124,2745,0,12
19,64,2745,0,8
18,39,2835,0,10
17,40,2880,0,12
16,112,2880,0,16
15,48,3015,0,16
14,32,3015,0,6
13,58,3015,0,8
12,78,3060,0,18
11,97,3105,0,18
10,76,3150,0,25
9,94,3195,0,14
8,68,3285,0,23
7,8,3285,0,4
6,61,3285,0,12
5,58,3285,0,22
4,30,3285,0,14
3,37,3285,0,14
1,22,3285,0,7
0,50,3285,0,22
